id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,duration_sec,is_explicit,mood_tags
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020s,201,False,nostalgic;summery
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,45,2020s,184,False,relaxing;late-night
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,62,2010s,224,False,aggressive;driving
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,38,2020s,196,False,cozy;rainy
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,71,2020s,178,False,motivational;aggressive
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,29,2010s,312,False,dreamy;relaxing
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,33,2000s,220,False,nostalgic;cozy
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,55,2010s,240,False,nostalgic;driving
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,41,2020s,205,False,studying;relaxing
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,68,2020s,192,False,uplifting;summery
11,Broken Amps,Voltline,rock,intense,0.88,145,0.42,0.61,0.08,58,2010s,210,True,aggressive;raw
12,Slow Burn,Coral Hush,acoustic,relaxed,0.31,68,0.55,0.44,0.94,25,2000s,238,False,heartfelt;cozy
13,Neon Pulse,Voltline,edm,intense,0.95,138,0.70,0.91,0.03,80,2020s,195,False,euphoric;motivational
14,Golden Hour,Indigo Parade,indie pop,happy,0.69,112,0.79,0.75,0.40,64,2020s,201,False,uplifting;nostalgic
15,Static Bloom,Orbit Bloom,ambient,moody,0.33,64,0.44,0.38,0.88,22,2010s,289,False,dreamy;melancholy
16,Bass Drop City,Max Pulse,edm,intense,0.97,140,0.72,0.94,0.02,74,2020s,188,False,euphoric;aggressive
17,Wandering Strings,Coral Hush,acoustic,relaxed,0.26,66,0.52,0.40,0.96,19,2010s,255,False,heartfelt;melancholy
18,Old Town Jazz,Slow Stereo,jazz,relaxed,0.44,95,0.68,0.57,0.83,36,2000s,246,False,nostalgic;cozy
19,Sugar Rush,Paper Lanterns,pop,happy,0.85,126,0.86,0.85,0.15,70,2020s,183,False,uplifting;summery
20,Fading Signal,Nightlong,ambient,moody,0.30,58,0.40,0.35,0.90,18,2010s,301,False,dreamy;melancholy